0,1,2,3,4,5,6,7,8,9,10
frozen potato products,whole milk,,,,,,,,,
newspapers,salty snack,pastry,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
whole milk,brown bread,root vegetables,roll products ,,,,,,,
candy,coffee,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pip fruit,beverages,zwieback,,,,,,,,
rolls/buns,soft cheese,fruit/vegetable juice,,,,,,,,
citrus fruit,soda,,,,,,,,,
newspapers,salty snack,,,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
sugar,bottled water,,,,,,,,,
sausage,bottled water,,,,,,,,,
other vegetables,beverages,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
newspapers,whole milk,chewing gum,,,,,,,,
oil,fruit/vegetable juice,,,,,,,,,
other vegetables,chewing gum,newspapers,,,,,,,,
beef,pasta,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
ice cream,red/blush wine,fruit/vegetable juice,,,,,,,,
other vegetables,dessert,,,,,,,,,
chicken,herbs,soda,,,,,,,,
canned beer,rolls/buns,rolls/buns,,,,,,,,
sausage,pork,,,,,,,,,
onions,specialty chocolate,canned fruit,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
curd,bottled water,tropical fruit,other vegetables,,,,,,,
pastry,soda,,,,,,,,,
dessert,condensed milk,rolls/buns,shopping bags,,,,,,,
newspapers,frozen meals,,,,,,,,,
meat,bottled water,soda,,,,,,,,
frankfurter,coffee,,,,,,,,,
beef,pastry,candy,,,,,,,,
frankfurter,yogurt,,,,,,,,,
root vegetables,sausage,whole milk,chewing gum,brown bread,,,,,,
bottled water,newspapers,,,,,,,,,
hamburger meat,sliced cheese,,,,,,,,,
frankfurter,oil,soda,,,,,,,,
sausage,rolls/buns,,,,,,,,,
photo/film,onions,,,,,,,,,
pork,bottled water,tea,,,,,,,,
soda,frozen dessert,,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
domestic eggs,salty snack,herbs,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
ham,soda,specialty chocolate,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
liver loaf,herbs,,,,,,,,,
curd,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,frankfurter,newspapers,whole milk,pastry,,,,,,
whole milk,pork,rolls/buns,yogurt,,,,,,,
rolls/buns,brown bread,rolls/buns,sliced cheese,,,,,,,
brown bread,curd,,,,,,,,,
soda,beverages,fruit/vegetable juice,,,,,,,,
whole milk,canned beer,,,,,,,,,
newspapers,white bread,,,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,,,,,,,,
canned beer,coffee,,,,,,,,,
other vegetables,beverages,,,,,,,,,
sausage,bottled beer,onions,other vegetables,soda,,,,,,
beef,fruit/vegetable juice,whole milk,,,,,,,,
beverages,specialty fat,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
pip fruit,seasonal products,,,,,,,,,
curd,cling film/bags,candy,rolls/buns,,,,,,,
sausage,margarine,,,,,,,,,
newspapers,bottled water,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
fruit/vegetable juice,ketchup,,,,,,,,,
other vegetables,beef,tropical fruit,root vegetables,shopping bags,,,,,,
other vegetables,frozen meals,,,,,,,,,
whole milk,hamburger meat,roll products ,,,,,,,,
cream cheese ,candy,,,,,,,,,
onions,onions,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
sausage,whole milk,,,,,,,,,
white wine,newspapers,,,,,,,,,
sausage,pork,butter,whole milk,fruit/vegetable juice,,,,,,
beef,white bread,frozen potato products,,,,,,,,
beef,onions,,,,,,,,,
berries,napkins,,,,,,,,,
pastry,cereals,,,,,,,,,
frankfurter,onions,,,,,,,,,
coffee,yogurt,,,,,,,,,
herbs,newspapers,newspapers,rolls/buns,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
waffles,sparkling wine,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
rolls/buns,other vegetables,whipped/sour cream,,,,,,,,
ice cream,coffee,,,,,,,,,
pip fruit,curd,specialty bar,beverages,sausage,soft cheese,rolls/buns,yogurt,other vegetables,curd,newspapers
frankfurter,chicken,meat,bottled beer,other vegetables,pastry,misc. beverages,root vegetables,salt,,
UHT-milk,herbs,newspapers,,,,,,,,
bottled water,bottled beer,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
soda,berries,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pork,finished products,ice cream,shopping bags,rolls/buns,,,,,,
hard cheese,rolls/buns,root vegetables,napkins,,,,,,,
rolls/buns,whole milk,,,,,,,,,
citrus fruit,berries,,,,,,,,,
chicken,pip fruit,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
ice cream,pork,,,,,,,,,
sausage,butter,bottled water,,,,,,,,
brown bread,shopping bags,,,,,,,,,
root vegetables,rice,,,,,,,,,
soups,white bread,other vegetables,,,,,,,,
liquor,fruit/vegetable juice,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
whole milk,sugar,whole milk,onions,processed cheese,pip fruit,whole milk,,,,
shopping bags,tropical fruit,red/blush wine,,,,,,,,
white bread,soda,,,,,,,,,
beef,root vegetables,,,,,,,,,
sausage,nuts/prunes,,,,,,,,,
semi-finished bread,other vegetables,soda,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,house keeping products,,,,,,
yogurt,whole milk,,,,,,,,,
rolls/buns,grapes,shopping bags,,,,,,,,
other vegetables,beverages,margarine,,,,,,,,
margarine,domestic eggs,,,,,,,,,
ham,bottled water,margarine,,,,,,,,
beef,white wine,pip fruit,,,,,,,,
curd,whole milk,red/blush wine,,,,,,,,
yogurt,salt,,,,,,,,,
other vegetables,curd,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
other vegetables,pastry,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
pastry,curd,,,,,,,,,
bottled water,dessert,,,,,,,,,
liver loaf,pasta,grapes,other vegetables,,,,,,,
red/blush wine,instant coffee,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
margarine,margarine,,,,,,,,,
other vegetables,whole milk,bottled beer,,,,,,,,
bottled water,bottled water,,,,,,,,,
pastry,frozen vegetables,,,,,,,,,
condensed milk,shopping bags,long life bakery product,,,,,,,,
beverages,UHT-milk,,,,,,,,,
liquor (appetizer),tropical fruit,,,,,,,,,
baking powder,fruit/vegetable juice,,,,,,,,,
soda,canned beer,other vegetables,whole milk,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
sausage,pastry,fruit/vegetable juice,dessert,,,,,,,
beef,napkins,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
meat,beef,whole milk,other vegetables,grapes,whipped/sour cream,coffee,whole milk,,,
butter milk,napkins,,,,,,,,,
whole milk,other vegetables,yogurt,newspapers,bottled water,pet care,,,,,
curd,specialty chocolate,flour,,,,,,,,
ham,tropical fruit,,,,,,,,,
soda,bottled water,,,,,,,,,
soda,nut snack,,,,,,,,,
frankfurter,meat,roll products ,pip fruit,,,,,,,
pip fruit,waffles,,,,,,,,,
red/blush wine,sugar,,,,,,,,,
mayonnaise,curd,,,,,,,,,
sauces,misc. beverages,,,,,,,,,
chicken,yogurt,waffles,,,,,,,,
brown bread,soda,,,,,,,,,
rolls/buns,shopping bags,whole milk,,,,,,,,
shopping bags,detergent,,,,,,,,,
sausage,pastry,whole milk,,,,,,,,
frankfurter,whole milk,red/blush wine,rolls/buns,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,soda,cooking chocolate,roll products ,,,,,,,
whole milk,pip fruit,,,,,,,,,
butter,rolls/buns,cream cheese ,flour,,,,,,,
tropical fruit,frozen vegetables,rice,,,,,,,,
root vegetables,soda,specialty bar,other vegetables,frozen vegetables,,,,,,
canned beer,margarine,chocolate,,,,,,,,
pork,long life bakery product,,,,,,,,,
berries,other vegetables,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
root vegetables,mustard,,,,,,,,,
whole milk,soda,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
beef,ice cream,dish cleaner,,,,,,,,
bottled beer,white bread,,,,,,,,,
condensed milk,pork,whole milk,pastry,,,,,,,
root vegetables,kitchen towels,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
butter,domestic eggs,,,,,,,,,
other vegetables,rolls/buns,domestic eggs,,,,,,,,
zwieback,frozen vegetables,,,,,,,,,
whole milk,newspapers,,,,,,,,,
domestic eggs,whole milk,fruit/vegetable juice,,,,,,,,
whole milk,soft cheese,soda,brown bread,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
bottled water,yogurt,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
pork,dental care,,,,,,,,,
whole milk,yogurt,,,,,,,,,
ice cream,curd,,,,,,,,,
soft cheese,frozen vegetables,,,,,,,,,
white bread,candy,,,,,,,,,
whole milk,pastry,specialty cheese,,,,,,,,
ham,whipped/sour cream,soda,light bulbs,,,,,,,
bottled water,dessert,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
chocolate,pickled vegetables,bottled water,,,,,,,,
instant coffee,soda,frozen meals,artif. sweetener,,,,,,,
pastry,margarine,,,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
domestic eggs,whole milk,,,,,,,,,
tropical fruit,detergent,rolls/buns,coffee,,,,,,,
sugar,bottled water,cream cheese ,,,,,,,,
citrus fruit,bottled water,white wine,rolls/buns,,,,,,,
yogurt,cream cheese ,,,,,,,,,
canned beer,newspapers,shopping bags,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
berries,other vegetables,,,,,,,,,
finished products,cream cheese ,,,,,,,,,
bottled beer,grapes,candy,,,,,,,,
canned beer,misc. beverages,long life bakery product,,,,,,,,
flour,soda,,,,,,,,,
beverages,root vegetables,frozen meals,,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
seasonal products,frozen vegetables,yogurt,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
UHT-milk,sweet spreads,,,,,,,,,
cooking chocolate,oil,,,,,,,,,
pork,specialty chocolate,,,,,,,,,
bottled water,canned beer,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
pork,processed cheese,,,,,,,,,
whole milk,whipped/sour cream,frozen vegetables,,,,,,,,
beef,root vegetables,butter milk,,,,,,,,
canned vegetables,chocolate marshmallow,,,,,,,,,
fruit/vegetable juice,chocolate,cat food,coffee,,,,,,,
other vegetables,sausage,white bread,soda,,,,,,,
rolls/buns,dessert,frozen meals,grapes,other vegetables,napkins,other vegetables,,,,
canned beer,specialty cheese,,,,,,,,,
hard cheese,butter milk,long life bakery product,,,,,,,,
bottled water,other vegetables,,,,,,,,,
curd,newspapers,,,,,,,,,
other vegetables,frozen dessert,shopping bags,,,,,,,,
pip fruit,specialty chocolate,liquor (appetizer),soda,,,,,,,
soda,chewing gum,,,,,,,,,
tropical fruit,soda,,,,,,,,,
butter milk,bottled beer,rice,canned vegetables,,,,,,,
whole milk,berries,specialty chocolate,white bread,,,,,,,
chicken,sugar,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
rice,bottled beer,,,,,,,,,
brown bread,rolls/buns,sliced cheese,,,,,,,,
pip fruit,whole milk,,,,,,,,,
other vegetables,organic sausage,cling film/bags,,,,,,,,
soda,other vegetables,,,,,,,,,
pip fruit,seasonal products,chocolate,,,,,,,,
citrus fruit,brown bread,pastry,,,,,,,,
oil,brown bread,oil,seasonal products,,,,,,,
canned beer,margarine,white bread,,,,,,,,
yogurt,yogurt,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
citrus fruit,specialty bar,Instant food products,jam,,,,,,,
other vegetables,butter,,,,,,,,,
whole milk,cat food,,,,,,,,,
liquor,long life bakery product,,,,,,,,,
tropical fruit,salt,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
curd,root vegetables,,,,,,,,,
frozen meals,yogurt,rolls/buns,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
pork,whole milk,domestic eggs,sweet spreads,,,,,,,
other vegetables,frankfurter,root vegetables,newspapers,,,,,,,
canned beer,whole milk,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
tropical fruit,citrus fruit,bottled water,rolls/buns,soda,pickled vegetables,,,,,
pasta,newspapers,,,,,,,,,
pip fruit,butter,,,,,,,,,
curd,domestic eggs,,,,,,,,,
soda,yogurt,,,,,,,,,
shopping bags,butter,,,,,,,,,
bottled water,coffee,,,,,,,,,
chewing gum,whole milk,bottled beer,ready soups,,,,,,,
hygiene articles,grapes,,,,,,,,,
pastry,pasta,,,,,,,,,
pip fruit,pastry,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
oil,butter milk,cling film/bags,pastry,,,,,,,
beef,specialty chocolate,,,,,,,,,
pork,hamburger meat,soda,other vegetables,popcorn,brown bread,bottled water,,,,
hamburger meat,other vegetables,,,,,,,,,
beverages,long life bakery product,hygiene articles,,,,,,,,
pork,citrus fruit,,,,,,,,,
tropical fruit,soda,,,,,,,,,
canned beer,napkins,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
white bread,citrus fruit,sugar,,,,,,,,
margarine,bottled water,,,,,,,,,
tropical fruit,pork,photo/film,hard cheese,,,,,,,
shopping bags,other vegetables,,,,,,,,,
brown bread,pastry,,,,,,,,,
waffles,pudding powder,,,,,,,,,
candles,chewing gum,,,,,,,,,
grapes,yogurt,hygiene articles,,,,,,,,
other vegetables,cat food,bottled water,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
rolls/buns,other vegetables,butter,root vegetables,rolls/buns,,,,,,
root vegetables,newspapers,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
soda,long life bakery product,,,,,,,,,
candy,domestic eggs,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
yogurt,rolls/buns,rolls/buns,,,,,,,,
beef,whole milk,,,,,,,,,
skin care,frankfurter,root vegetables,fruit/vegetable juice,,,,,,,
sausage,frankfurter,other vegetables,bottled water,,,,,,,
yogurt,tidbits,,,,,,,,,
oil,frozen potato products,,,,,,,,,
sausage,whole milk,,,,,,,,,
semi-finished bread,yogurt,,,,,,,,,
mustard,domestic eggs,,,,,,,,,
hard cheese,curd,,,,,,,,,
whole milk,brown bread,,,,,,,,,
soda,other vegetables,,,,,,,,,
nuts/prunes,canned beer,other vegetables,shopping bags,,,,,,,
ham,curd,,,,,,,,,
canned fish,cling film/bags,,,,,,,,,
root vegetables,brown bread,domestic eggs,,,,,,,,
cling film/bags,whipped/sour cream,coffee,,,,,,,,
ham,cream cheese ,,,,,,,,,
pork,tropical fruit,whole milk,chewing gum,,,,,,,
grapes,whole milk,frozen vegetables,,,,,,,,
ham,soda,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
meat,fruit/vegetable juice,long life bakery product,bottled water,,,,,,,
meat,frozen vegetables,other vegetables,,,,,,,,
tropical fruit,butter milk,softener,,,,,,,,
flour,dessert,,,,,,,,,
whole milk,cream cheese ,semi-finished bread,,,,,,,,
specialty bar,pickled vegetables,,,,,,,,,
long life bakery product,citrus fruit,rolls/buns,,,,,,,,
white wine,beverages,,,,,,,,,
ham,whole milk,brown bread,,,,,,,,
tropical fruit,bottled water,long life bakery product,,,,,,,,
soft cheese,pickled vegetables,,,,,,,,,
margarine,pastry,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
tropical fruit,butter,frozen fruits,,,,,,,,
sausage,other vegetables,citrus fruit,curd,red/blush wine,dessert,specialty chocolate,white bread,pastry,,
tropical fruit,root vegetables,candy,yogurt,rolls/buns,,,,,,
frankfurter,sliced cheese,sugar,,,,,,,,
citrus fruit,soda,,,,,,,,,
dessert,butter,,,,,,,,,
pip fruit,cake bar,,,,,,,,,
white wine,frozen potato products,,,,,,,,,
fruit/vegetable juice,vinegar,,,,,,,,,
meat,onions,whole milk,whole milk,,,,,,,
domestic eggs,chewing gum,,,,,,,,,
female sanitary products,soda,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
frankfurter,specialty bar,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
frankfurter,napkins,,,,,,,,,
frankfurter,frankfurter,pip fruit,yogurt,,,,,,,
frankfurter,pip fruit,brown bread,,,,,,,,
chicken,bottled beer,soda,domestic eggs,other vegetables,,,,,,
newspapers,brown bread,,,,,,,,,
other vegetables,whole milk,UHT-milk,other vegetables,frozen meals,whole milk,salty snack,,,,
whole milk,coffee,,,,,,,,,
meat,butter,cleaner,misc. beverages,,,,,,,
citrus fruit,berries,,,,,,,,,
domestic eggs,dessert,,,,,,,,,
whole milk,flour,,,,,,,,,
bottled beer,whole milk,salty snack,other vegetables,,,,,,,
citrus fruit,rolls/buns,whole milk,brown bread,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
pastry,hygiene articles,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,butter,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
root vegetables,soft cheese,yogurt,bottled water,,,,,,,
beef,frozen meals,pastry,white wine,whipped/sour cream,,,,,,
liquor (appetizer),long life bakery product,,,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
misc. beverages,artif. sweetener,newspapers,fruit/vegetable juice,,,,,,,
other vegetables,soft cheese,,,,,,,,,
sausage,whole milk,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
soda,canned fish,,,,,,,,,
meat,rolls/buns,,,,,,,,,
pip fruit,dessert,sauces,,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
whole milk,soda,,,,,,,,,
beef,pip fruit,bottled water,margarine,hygiene articles,,,,,,
rolls/buns,processed cheese,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
fruit/vegetable juice,hamburger meat,soft cheese,specialty chocolate,bottled water,,,,,,
soda,artif. sweetener,salty snack,,,,,,,,
yogurt,root vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
beef,processed cheese,,,,,,,,,
fruit/vegetable juice,canned fish,,,,,,,,,
berries,specialty bar,,,,,,,,,
curd,soda,rolls/buns,,,,,,,,
brown bread,soda,,,,,,,,,
frankfurter,sausage,yogurt,soda,coffee,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
canned beer,butter,,,,,,,,,
tropical fruit,coffee,waffles,whipped/sour cream,,,,,,,
tropical fruit,pastry,,,,,,,,,
whole milk,sugar,,,,,,,,,
newspapers,white wine,,,,,,,,,
whole milk,canned beer,,,,,,,,,
berries,canned fish,waffles,,,,,,,,
berries,whole milk,sugar,,,,,,,,
pork,canned beer,,,,,,,,,
soda,other vegetables,chocolate,,,,,,,,
soda,specialty cheese,napkins,,,,,,,,
berries,soda,oil,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,root vegetables,,,,,,,
citrus fruit,sugar,specialty chocolate,,,,,,,,
pasta,hamburger meat,frozen meals,domestic eggs,,,,,,,
pip fruit,other vegetables,,,,,,,,,
sausage,red/blush wine,,,,,,,,,
bottled beer,pastry,,,,,,,,,
house keeping products,rolls/buns,pickled vegetables,curd,,,,,,,
soda,yogurt,sliced cheese,,,,,,,,
meat spreads,mayonnaise,,,,,,,,,
sausage,frozen dessert,brown bread,other vegetables,,,,,,,
pastry,canned beer,,,,,,,,,
misc. beverages,berries,,,,,,,,,
cake bar,Instant food products,,,,,,,,,
bottled beer,soda,,,,,,,,,
dessert,jam,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
rolls/buns,seasonal products,margarine,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
soda,napkins,,,,,,,,,
berries,rolls/buns,,,,,,,,,
whole milk,whole milk,sausage,newspapers,soda,flour,bottled water,liquor,,,
chicken,root vegetables,,,,,,,,,
beverages,rolls/buns,,,,,,,,,
pork,yogurt,,,,,,,,,
soda,shopping bags,,,,,,,,,
whole milk,other vegetables,other vegetables,sugar,,,,,,,
citrus fruit,sausage,domestic eggs,citrus fruit,dishes,,,,,,
sausage,beverages,,,,,,,,,
yogurt,cream cheese ,fruit/vegetable juice,,,,,,,,
salty snack,canned beer,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
rolls/buns,mayonnaise,flour,,,,,,,,
finished products,frozen vegetables,,,,,,,,,
soda,frankfurter,cream cheese ,butter,,,,,,,
whole milk,pastry,specialty bar,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
frankfurter,salty snack,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
sausage,flower (seeds),,,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
ham,other vegetables,,,,,,,,,
pip fruit,butter,,,,,,,,,
soda,chocolate,,,,,,,,,
finished products,newspapers,,,,,,,,,
ham,whole milk,shopping bags,,,,,,,,
whipped/sour cream,citrus fruit,,,,,,,,,
beef,mustard,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
bottled water,white bread,,,,,,,,,
tropical fruit,ice cream,,,,,,,,,
pasta,root vegetables,,,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
candles,chewing gum,,,,,,,,,
hard cheese,tropical fruit,,,,,,,,,
frankfurter,waffles,,,,,,,,,
cream cheese ,sugar,,,,,,,,,
meat,whole milk,,,,,,,,,
tropical fruit,berries,whole milk,soap,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
beef,pasta,,,,,,,,,
female sanitary products,curd,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
beef,spread cheese,misc. beverages,,,,,,,,
whole milk,other vegetables,,,,,,,,,
salty snack,condensed milk,,,,,,,,,
soda,whole milk,,,,,,,,,
citrus fruit,beef,,,,,,,,,
yogurt,soda,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
whole milk,grapes,chocolate,pot plants,,,,,,,
soda,pork,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
red/blush wine,whipped/sour cream,specialty cheese,abrasive cleaner,,,,,,,
soda,sausage,butter milk,vinegar,,,,,,,
domestic eggs,brown bread,specialty chocolate,,,,,,,,
chocolate,root vegetables,,,,,,,,,
soda,hygiene articles,grapes,pudding powder,butter milk,butter,,,,,
citrus fruit,sliced cheese,,,,,,,,,
beef,cream cheese ,,,,,,,,,
fish,chicken,chicken,UHT-milk,other vegetables,cream cheese ,hard cheese,,,,
citrus fruit,rolls/buns,,,,,,,,,
citrus fruit,citrus fruit,oil,root vegetables,,,,,,,
citrus fruit,white bread,processed cheese,,,,,,,,
ham,pastry,sugar,,,,,,,,
tropical fruit,hamburger meat,coffee,sliced cheese,whipped/sour cream,,,,,,
tropical fruit,canned beer,,,,,,,,,
napkins,cocoa drinks,shopping bags,,,,,,,,
whole milk,pastry,chewing gum,shopping bags,,,,,,,
herbs,pot plants,cake bar,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
liquor,canned beer,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
beef,brown bread,,,,,,,,,
ham,whipped/sour cream,,,,,,,,,
pip fruit,vinegar,,,,,,,,,
sausage,shopping bags,soda,butter,dessert,soda,,,,,
soda,yogurt,,,,,,,,,
margarine,soda,,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
tropical fruit,white bread,butter,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pork,nuts/prunes,rolls/buns,,,,,,,,
chicken,yogurt,rolls/buns,,,,,,,,
sausage,hygiene articles,,,,,,,,,
whole milk,chocolate,rolls/buns,brown bread,,,,,,,
butter milk,fruit/vegetable juice,pastry,margarine,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
other vegetables,frankfurter,rolls/buns,other vegetables,shopping bags,,,,,,
onions,whole milk,cling film/bags,,,,,,,,
roll products ,dishes,,,,,,,,,
fruit/vegetable juice,candy,hygiene articles,,,,,,,,
butter,frozen vegetables,,,,,,,,,
margarine,shopping bags,,,,,,,,,
beef,semi-finished bread,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
tropical fruit,UHT-milk,candy,,,,,,,,
female sanitary products,cleaner,coffee,sauces,,,,,,,
frozen meals,instant coffee,specialty chocolate,,,,,,,,
UHT-milk,other vegetables,other vegetables,bottled water,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
pastry,curd,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
other vegetables,herbs,,,,,,,,,
butter,shopping bags,,,,,,,,,
cream cheese ,fruit/vegetable juice,whole milk,shopping bags,,,,,,,
hygiene articles,rolls/buns,,,,,,,,,
pip fruit,other vegetables,flour,,,,,,,,
whole milk,yogurt,,,,,,,,,
rolls/buns,kitchen towels,,,,,,,,,
sausage,margarine,,,,,,,,,
pork,root vegetables,rolls/buns,,,,,,,,
other vegetables,dish cleaner,,,,,,,,,
pork,dessert,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
butter milk,shopping bags,baking powder,,,,,,,,
coffee,misc. beverages,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
beef,domestic eggs,,,,,,,,,
whole milk,brown bread,,,,,,,,,
white bread,brown bread,,,,,,,,,
ham,whole milk,,,,,,,,,
whipped/sour cream,candy,whole milk,,,,,,,,
ham,root vegetables,,,,,,,,,
white bread,popcorn,,,,,,,,,
pet care,chocolate,,,,,,,,,
soda,yogurt,,,,,,,,,
tropical fruit,newspapers,beef,tropical fruit,domestic eggs,detergent,frozen vegetables,grapes,processed cheese,,
tropical fruit,frozen vegetables,whole milk,snack products,,,,,,,
canned beer,dessert,,,,,,,,,
yogurt,yogurt,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
white wine,white bread,,,,,,,,,
frozen meals,pasta,curd,,,,,,,,
pip fruit,beef,whole milk,other vegetables,,,,,,,
chicken,white bread,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
bottled water,rolls/buns,waffles,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
nuts/prunes,whole milk,,,,,,,,,
other vegetables,pork,newspapers,,,,,,,,
